Ride,Date/Time,Wait Time
The Many Adventures of Winnie the Pooh,04/30/2024 09:15,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:20,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:25,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:30,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:35,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:40,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:45,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:50,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 09:55,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:00,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:05,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:10,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:15,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:20,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:25,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:30,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:35,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:40,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:45,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:50,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 10:55,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:00,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:05,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:10,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:15,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:20,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:25,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:30,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:35,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:40,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:45,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:50,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 11:55,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:00,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:05,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:10,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:15,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:20,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:25,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:30,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:35,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:40,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:45,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:50,30.0
The Many Adventures of Winnie the Pooh,04/30/2024 12:55,30.0
